fold,spec,model,RMSE,MAE,R2,MASE,n_train,n_test
3,A2_WDI_PCA1,Bayes_Complete,10.209786224669495,8.355377091829382,0.095530530321287,2.559187442185393,472,74
4,A2_WDI_PCA1,Bayes_Complete,9.76806438380478,8.094054387340613,0.30727243790712433,2.6507480285220253,535,74
5,A2_WDI_PCA1,Bayes_Complete,10.319889081983403,8.599548094481902,0.1530217048788195,2.8921295111879166,598,74
1,A3_WDI_6WGI,RandomForest,4.406984680062964,3.2992772792235705,0.9393864448937977,0.8638214910138882,346,74
2,A3_WDI_6WGI,RandomForest,3.138764910407223,2.2304687931926366,0.9615908815973294,0.6113126108739871,409,74
3,A3_WDI_6WGI,RandomForest,5.068056681188609,3.8693027296945433,0.7771341423468949,1.1851375284463515,472,74
4,A3_WDI_6WGI,RandomForest,2.949629851942698,2.3695981763359093,0.936834421136106,0.776027364498048,535,74
5,A3_WDI_6WGI,RandomForest,4.841239854338379,3.0593641267760368,0.8136045006528282,1.0289002607237232,598,74
1,A3_WDI_6WGI,XGBoost,3.200925913264263,2.1529930721645703,0.9680229850398007,0.5636997221941419,346,74
2,A3_WDI_6WGI,XGBoost,2.249042135793403,1.6318273450380967,0.9802797713824419,0.44724079432778263,409,74
3,A3_WDI_6WGI,XGBoost,3.1309857138228367,2.1608442615707615,0.9149405076852433,0.6618499007229708,472,74
4,A3_WDI_6WGI,XGBoost,2.965556675046048,2.142521633868403,0.9361504417058616,0.7016613337717449,535,74
5,A3_WDI_6WGI,XGBoost,3.8358017975905394,2.3002997066889628,0.8829868855556222,0.7736179381985151,598,74
1,A3_WDI_6WGI,SARIMAX,2.638925451337466,1.9016641260960818,0.9782659371350617,0.49789641845395954,346,74
2,A3_WDI_6WGI,SARIMAX,2.2127066932336192,1.483666416847685,0.9809118226897374,0.4066337954233279,409,74
3,A3_WDI_6WGI,SARIMAX,2.4664030462261572,1.7509108560579774,0.9472176514224413,0.5362904661228847,472,74
4,A3_WDI_6WGI,SARIMAX,1.8626272334460199,1.2989915015129267,0.9748117881377928,0.42541092472614195,535,74
5,A3_WDI_6WGI,SARIMAX,3.4379316373959625,1.9248696122100386,0.9060024151192736,0.6473563668111432,598,74
1,A3_WDI_6WGI,LSTM,2.8434682779082707,2.156598599337351,0.9747661538659297,0.5646437264698345,346,74
2,A3_WDI_6WGI,LSTM,1.7948265464024626,1.3866040358081206,0.9874408071244414,0.38003155926919163,409,74
3,A3_WDI_6WGI,LSTM,2.190066896615789,1.6520709039253636,0.9583825586866602,0.5060165525096563,472,74
4,A3_WDI_6WGI,LSTM,2.019026199175191,1.5481562089049485,0.9704042500411642,0.5070106799649592,535,74
5,A3_WDI_6WGI,LSTM,2.7742024140411594,1.6195657297702735,0.9387933637240069,0.5446790681225209,598,74
1,A3_WDI_6WGI,Bayes_Partial,14.783903307213093,11.682303460251376,0.31787353067569235,3.0586773827890865,346,74
2,A3_WDI_6WGI,Bayes_Partial,11.899958319916145,10.014472198322997,0.4479128461846965,2.744702443166197,409,74
3,A3_WDI_6WGI,Bayes_Partial,10.209786224669495,8.355377091829382,0.095530530321287,2.559187442185393,472,74
4,A3_WDI_6WGI,Bayes_Partial,9.76806438380478,8.094054387340613,0.30727243790712433,2.6507480285220253,535,74
5,A3_WDI_6WGI,Bayes_Partial,10.319889081983403,8.599548094481902,0.1530217048788195,2.8921295111879166,598,74
